,firm
442,アイシン精機（7259）
443,ブロードリーフ（3673）
444,ＬＩＸＩＬグループ（5938）
445,日本板硝子（5202）
446,商船三井（9104）
447,トランコム（9058）
448,ツクイ（2398）
449,北越紀州製紙（3865）
450,太陽誘電（6976）
451,キリンホールディングス（2503）
452,アデランス（8170）
453,メッセージ（2400）
454,アズワン（7476）
455,ＩＨＩ（7013）
456,トップリート投資法人（8982）
457,ブリヂストン（5108）
458,フジ・メディア・ホールディングス（4676）
459,ヒロセ電機（6806）
460,アドバンテスト（6857）
461,トヨタ紡織（3116）
462,西尾レントオール（9699）
463,テレビ朝日ホールディングス（9409）
464,三菱マテリアル（5711）
465,全日本空輸（9202）
466,Core Insight:  クボタ（6326）
467,東芝（6502）
468,帝人（3401）
469,京都銀行（8369）
470,ＨＯＹＡ（7741）
471,ヤマトホールディングス（9064）
472,テクノプロ・ホールディングス（6028）
473,中外製薬（4519）
474,ケネディクス不動産投資法人（8972）
475,東光高岳ホールディングス（6617）
476,カプコン（9697）
477,住友商事（8053）
478,いすゞ自動車（7202）
479,東武鉄道（9001）
480,東海旅客鉄道（9022）
481,ダイニチ工業（5951）
482,北洋銀行（8524）
483,富士通ゼネラル（6755）
484,三井住友トラスト・ホールディングス（8309）
485,楽天（4755）
486,新生銀行（8303）
487,ＳＵＭＣＯ（3436）
488,大陽日酸（4091）
489,丸一鋼管（5463）
490,ベネッセホールディングス（9783）
491,日本光電工業（6849）
492,日清オイリオグループ（2602）
493,ＮＥＣモバイリング（9430）
494,ニフコ（7988）
495,日清食品ホールディングス（2897）
496,ＤＩＣ（4631）
497,日本精工（6471）
498,ＭＩＤリート投資法人（3227）
499,シマノ（7309）
500,レンゴー（3941）
501,ユーグレナ（2931）
502,イオンフィナンシャルサービス（8570）
503,SOMPO ホールディングス（8630）
504,四国電力（9507）
505,コスモス薬品（3349）
506,きんでん（1944）
507,住友ゴム工業（5110）
508,東洋電機製造（6505）
509,ケネディクス・オフィス投資法人（8972）
510,ＴＩＳ（3626）
511,沖縄セルラー電話（9436）
512,大阪ガス（9532）
513,タツタ電線（5809）
514,良品計画（7453）
515,東海ゴム工業（5191）
516,荏原（6361）
517,浜松ホトニクス（6965）
518,山崎製パン（2212）
519,富士製薬工業（4554）
520,タカタ（7312）
521,ＣＹＢＥＲＤＹＮＥ（7779）
522,瑞光（6279）
523,ペプチドリーム（4587）
524,日立物流（9086）
525,牧野フライス製作所（6135）
526,豊田合成（7282）
527,東洋ゴム工業（5105）
528,伊藤ハム（2284）
529,大和ハウスリート投資法人（3263）
530,ダイハツ工業（7262）
531,日清製粉グループ本社（2002）
532,ヤクルト本社（2267）
533,味の素（2802）
534,新日鉄住金ソリューションズ（2327）
535,リンテック（7966）
536,丸井グループ（8252）
537,三菱食品（7451）
538,三菱ケミカルホールディングス（4188）
539,ヤマハ発動機（7272）
540,タカラレーベン（8897）
541,京王電鉄（9008）
542,ミズノ（8022）
543,ジェイアイエヌ（3046）
544,三菱ＵＦＪリース（8593）
545,ニトリホールディングス（9843）
546,伊藤忠テクノソリューションズ（4739）
547,サンドラッグ（9989）
548,千葉銀行（8331）
549,スタートトゥデイ（3092）
550,エーザイ（4523）
551,日本製鋼所（5631）
552,戸田建設（1860）
553,日立金属（5486）
554,産業ファンド投資法人（3249）
555,イーエムシステムズ（4820）
556,日本電産（6594）
557,住友理工（5191）
558,キヤノン（7751）
559,ヤフー（4689）
560,阪急リート投資法人（8977）
561,日本ピラー工業（6490）
562,伊藤ハム米久ホールディングス（2296）
563,花王（4452）
564,ＩＴＣネットワーク（9422）
565,ヒューリック（3003）
566,栗田工業（6370）
567,日本賃貸住宅投資法人（8986）
568,ソフトバンク（9984）
569,ラオックス（8202）
570,静岡銀行（8355）
571,エクセディ（7278）
572,日本通運（9062）
573,東祥（8920）
574,オービックビジネスコンサルタント（4733）
575,堀場製作所（6856）
576,エレコム（6750）
577,新光電気工業（6967）
578,エービーシー・マート（2670）
579,コカ・コーラウエスト（2579）
580,リンナイ（5947）
581,スズキ（7269）
582,コムシスホールディングス（1721）
583,遠藤照明（6932）
584,ＧＭＯペイメントゲートウェイ（3769）
585,ナカニシ（7716）
586,久光製薬（4530）
587,明治ホールディングス（2269）
588,コニカミノルタ（4902）
589,アステラス製薬（4503）
590,ユナイテッド・アーバン投資法人（8960）
591,野村総合研究所（4307）
592,野村不動産マスターファンド投資法人（3462）
593,日本オラクル（4716）
594,ＮＥＣフィールディング（2322）
595,日本触媒（4114）
596,損保ジャパン日本興亜ホールディングス（8630）
597,不二製油（2607）
598,日本ユニシス（8056）
599,住友大阪セメント（5232）
600,メルコホールディングス（6676）
601,キユーピー（2809）
602,東京精密（7729）
603,東北電力（9506）
604,セイコーエプソン（6724）
605,エスフーズ（2292）
606,大和ハウス・レジデンシャル投資法人（8984）
607,インフォコム（4348）
608,図研（6947）
609,住友化学（4005）
610,富士フイルムホールディングス（4901）
611,不二越（6474）
612,鹿島（1812）
613,ＮＫＳＪホールディングス（8630）
614,大塚商会（4768）
615,旭硝子（5201）
616,不二家（2211）
617,群馬銀行（8334）
618,マツモトキヨシホールディングス（3088）
619,日野自動車（7205）
620,カカクコム（2371）
621,塩野義製薬（4507）
622,ふくおかフィナンシャルグループ（8354）
623,明電舎（6508）
624,ダイキョーニシカワ（4246）
625,オービック（4684）
626,愛知電機（6623）
627,そーせいグループ（4565）
628,任天堂（7974）
629,豊田自動織機（6201）
630,日立化成（4217）
631,ＫＤＤＩ（9433）
632,ナブテスコ（6268）
633,ケネディクス・レジデンシャル投資法人（3278）
634,日立マクセル（6810）
635,アルフレッサ  ホールディングス（2784）
636,積水ハウス・ＳＩ  レジデンシャル投資法人（8973）
637,関西電力（9503）
638,武蔵精密工業（7220）
639,三菱ガス化学（4182）
640,フジクラ（5803）
641,横浜銀行（8332）
642,ケネディクス商業リート投資法人（3453）
643,DMG  森精機（6141）
644,ＴＤＫ（6762）
645,ユニーグループ・ホールディングス（8270）
646,曙ブレーキ工業（7238）
647,広島銀行（8379）
648,日本アコモデーションファンド投資法人（3226）
649,カルビー（2229）
